,Project/Repository Group,BF,BF%,Bus/Elephant Factor Users,Oth. #,Oth. %,Top 10 %,Top Users,Rem. #,Rem. %,level
0,Aeraki Mesh,3,52.54,"tanjunchen, zhaohuabing, panniyuyu",14,47.46,88.14,"tanjunchen, zhaohuabing, panniyuyu, huanghuangzym, mark8s, woluohenga, Xunzhuo, whitefirer, gaohongbin, panchal20bhavin",7,11.86,Sandbox
1,Akri,3,60.24,"johnsonshih, diconico07, jbpaux",11,39.76,95.18,"johnsonshih, diconico07, jbpaux, harrison-tin, kate-goldenring, yujinkim-msft, adithyaj, leolumicrosoft, karok2m, Rishit-dagli",4,4.82,Sandbox
2,Antrea,7,53.94,"luolanzone, antoninbas, tnqn, reachjainrahul, hongliangl, wenyingd, ceclinux",54,46.06,64.38,"luolanzone, antoninbas, tnqn, reachjainrahul, hongliangl, wenyingd, ceclinux, Anandkumar26, XinShuYang, shenmo3",51,35.62,Sandbox
3,Argo,57,50.16,"crenshaw-dev, flaviuvadan, zachaller, 34fathombelow, terrytangyuan, pdrastil, alexef, elliotgunton, fengshunli, jmeridth",984,49.84,23.76,"crenshaw-dev, flaviuvadan, zachaller, 34fathombelow, terrytangyuan, pdrastil, alexef, elliotgunton, fengshunli, jmeridth",1031,76.24,Graduated
4,Armada,7,54.86,"dave-gantenbein, severinson, ClifHouck, JamesMurkin, kannon92, d80tb7, carlocamurri",41,45.14,69.44,"dave-gantenbein, severinson, ClifHouck, JamesMurkin, kannon92, d80tb7, carlocamurri, Sharpz7, dejanzele, zuqq",38,30.56,Sandbox
5,Artifact Hub,3,55.17,"cynthia-sg, tegioz, Skiepp",10,44.83,89.66,"cynthia-sg, tegioz, Skiepp, stranljip, QuanZhang-William, tibuntu, marcofranssen, jpetazzo, neilprosser, Omkar0114",3,10.34,Sandbox
6,Athenz,5,51.46,"havetisyan, WindzCUHK, mendi160, jimmytsang, t4niwa",24,48.54,69.9,"havetisyan, WindzCUHK, mendi160, jimmytsang, t4niwa, mlajkim, ctyano, noy93845, OferLevi85, ysknkd",19,30.1,Sandbox
7,Backstage,32,50.06,"Rugvip, freben, benjdlambert, awanlin, adamdmharvey, punkle, jhaals, pjungermann, drodil, luchillo17",625,49.94,33.89,"Rugvip, freben, benjdlambert, awanlin, adamdmharvey, punkle, jhaals, pjungermann, drodil, luchillo17",647,66.11,Incubating
8,BFE,2,60.0,"clarinette9, loheagn",4,40.0,100.0,"clarinette9, loheagn, yorelog, xqbumu, mileszhang2016, mengtao97",0,0.0,Sandbox
9,Brigade,1,83.33,chalin,1,16.67,100.0,"chalin, shubham1172",0,0.0,Archived
10,Buildpacks,4,56.22,"natalieparellano, joe-kimmel-vmw, AidanDelaney, jjbustamante",68,43.78,72.61,"natalieparellano, joe-kimmel-vmw, AidanDelaney, jjbustamante, jkutner, dlion, jabrown85, tomkennedy513, itsdarshankumar, hone",62,27.39,Incubating
11,Capsule,2,52.0,"prometherion, oliverbaehler",23,48.0,85.0,"prometherion, oliverbaehler, MaxFedotov, zvlb, sagar-jadhav, maxgio92, slimm609, nvanrymenant, aslafy-z, logikone",15,15.0,Sandbox
12,Carina,3,58.62,"antmoveh, zhangkai8048, wongearl",8,41.38,98.28,"antmoveh, zhangkai8048, wongearl, redref, fanhaouu, ZhangZhenhua, hwdef, guoguodan, snwyc, duanhongyi",1,1.72,Sandbox
13,Carvel,5,53.85,"sethiyash, praveenrewar, joaopapereira, rohitagg2020, kumaritanushree",52,46.15,75.0,"sethiyash, praveenrewar, joaopapereira, rohitagg2020, kumaritanushree, neil-hickey, microwavables, 100mik, vmunishwar, aaronshurley",47,25.0,Sandbox
14,cert-manager,4,54.11,"SgtCoDFish, inteon, wallrj, irbekrm",188,45.89,68.67,"SgtCoDFish, inteon, wallrj, irbekrm, maelvls, JoshVanL, lucacome, jahrlin, sathyanarays, bmsiegel",182,31.33,Incubating
15,ChaosBlade,3,59.02,"sunny0826, Yuaninga, MandssS",14,40.98,88.52,"sunny0826, Yuaninga, MandssS, binbin0325, Icesource, tiny-x, hengyoush, xxm404, slievrly, laserproall",7,11.48,Sandbox
16,Chaos Mesh,3,63.36,"g1eny0ung, STRRL, cwen0",54,36.64,75.95,"g1eny0ung, STRRL, cwen0, FingerLeader, nioshield, Andrewmatilde, YangKeao, fasmat, xlgao-zju, akshaiks22",47,24.05,Incubating
17,Cilium,19,50.93,"julianwiedmann, sayboras, tklauser, michi-covalent, pchaigno, brb, giorio94, aanm, mhofstetter, jrajahalme",437,49.07,35.11,"julianwiedmann, sayboras, tklauser, michi-covalent, pchaigno, brb, giorio94, aanm, mhofstetter, jrajahalme",446,64.89,Incubating
18,Cloud Custodian,12,51.9,"kapilt, thisisshi, ajkerrigan, evhenyshaliov, kentnsw, jasgrover, PratMis, dslagle, djeebus, hiteshmck",107,48.1,48.1,"kapilt, thisisshi, ajkerrigan, evhenyshaliov, kentnsw, jasgrover, PratMis, dslagle, djeebus, hiteshmck",109,51.9,Incubating
19,Cloud Deployment Kit for Kubernetes,2,62.92,"iliapolo, vinayak-kukreja",30,37.08,86.52,"iliapolo, vinayak-kukreja, ryparker, sumupitchayan, yfried, njlaw, ShubhikaBhardwaj, mrgrain, dancmeyers, wyvernzora",22,13.48,Sandbox
20,CloudEvents,7,51.14,"duglin, jskeet, sasha-tkachev, yanmxa, lholmquist, alexec, JemDay",64,48.86,57.39,"duglin, jskeet, sasha-tkachev, yanmxa, lholmquist, alexec, JemDay, aaron-ai, embano1, JieDing",61,42.61,Incubating
21,Clusternet,2,50.31,"dixudx, lmxia",31,49.69,75.46,"dixudx, lmxia, yinsenyan, silenceper, autumn0207, DanielXLee, abstractmj, jasine, zxbyoyoyo, Sad-polar-bear",23,24.54,Sandbox
22,Clusterpedia,3,56.38,"Iceber, cleverhu, scydas",31,43.62,81.91,"Iceber, cleverhu, scydas, calvin0327, RuliXu, khareyash05, lengrongfu, wzshiming, wuyingjun-lucky, ONE7live",24,18.09,Sandbox
23,CNCF,104,50.06,"taylorwaggoner, nate-double-u, Swil78, rtheis, electrocucaracha, castrojo, cjyabraham, aliok, hswong3i, fdegir",906,49.94,17.12,"taylorwaggoner, nate-double-u, Swil78, rtheis, electrocucaracha, castrojo, cjyabraham, aliok, hswong3i, fdegir",1000,82.88,-
24,CNI,8,50.51,"mmorel-35, squeed, maiqueb, mmirecki, mlguerrero12, mccv1r0, EmilyShepherd, austinvazquez",44,49.49,55.56,"mmorel-35, squeed, maiqueb, mmirecki, mlguerrero12, mccv1r0, EmilyShepherd, austinvazquez, MikeZappa87, SirPhuttel",42,44.44,Incubating
25,Confidential Containers,10,51.11,"Xynnn007, stevenhorsman, wainersm, bpradipt, mythi, fidencio, gaojiaqi7, jialez0, snir911, fitzthum",75,48.89,51.11,"Xynnn007, stevenhorsman, wainersm, bpradipt, mythi, fidencio, gaojiaqi7, jialez0, snir911, fitzthum",75,48.89,Sandbox
26,containerd,22,50.84,"changweige, thaJeztah, AkihiroSuda, dcantah, austinvazquez, djdongjin, sctb512, mxpv, dmcgowan, Iceber",292,49.16,33.14,"changweige, thaJeztah, AkihiroSuda, dcantah, austinvazquez, djdongjin, sctb512, mxpv, dmcgowan, Iceber",304,66.86,Graduated
27,ContainerSSH,2,58.33,"hezhizhen, kemingy",5,41.67,100.0,"hezhizhen, kemingy, nikhilchauhangithub, gaocegege, tsipinakis, janosdebugs, hongkunyoo",0,0.0,Sandbox
28,Contour,2,64.45,"skriss, sunjayBhatia",60,35.55,83.2,"skriss, sunjayBhatia, izturn, tsaarni, fangfpeng, yanggangtony, clayton-gonsalves, vmw-yingy, Vishal-Chdhry, Jean-Daniel",52,16.8,Incubating
29,CoreDNS,20,50.55,"chrisohaver, Tantalor93, yongtang, mariuskimmina, snail2sky, sanyo0714, pschou, fuhry, slayer1366, SuperQ",76,49.45,39.56,"chrisohaver, Tantalor93, yongtang, mariuskimmina, snail2sky, sanyo0714, pschou, fuhry, slayer1366, SuperQ",86,60.44,Graduated
30,Cortex,5,52.21,"yeya24, alanprot, friedrichg, alvinlin123, dogukanteber",46,47.79,69.08,"yeya24, alanprot, friedrichg, alvinlin123, dogukanteber, harry671003, danielblando, wgliang, damnever, wenxu1024",41,30.92,Incubating
31,CRI-O,3,56.73,"saschagrunert, haircommander, sohankunkerkar",83,43.27,74.53,"saschagrunert, haircommander, sohankunkerkar, littlejawa, kolyshkin, adrianreber, klihub, mrunalp, dfr, wgahnagl",76,25.47,Graduated
32,Crossplane,10,50.06,"plumbis, phisco, negz, hasheddan, MisterMX, turkenh, haarchri, bobh66, ezgidemirel, nicoleblom",196,49.94,50.06,"plumbis, phisco, negz, hasheddan, MisterMX, turkenh, haarchri, bobh66, ezgidemirel, nicoleblom",196,49.94,Incubating
33,CubeFS,8,53.4,"sejust, leonrayang, baijiaruo, pengtianyue025, Victor1319, JasonHu520, setcy, true1064",48,46.6,60.57,"sejust, leonrayang, baijiaruo, pengtianyue025, Victor1319, JasonHu520, setcy, true1064, NaturalSelect, tangdeyi",46,39.43,Incubating
34,Curiefense,3,56.07,"tzuryby, arbelaxRbz, Freakachoo",13,43.93,91.91,"tzuryby, arbelaxRbz, Freakachoo, bartavelle, yoavkatzman, xavier-rbz, shaisgv, shalhevetm, bmwant, Rileran",6,8.09,Sandbox
35,Curve,6,50.75,"Cyber-SiKu, SeanHai, wuhongsong, ilixiaocui, caoxianfei1, wu-hanqing",67,49.25,61.19,"Cyber-SiKu, SeanHai, wuhongsong, ilixiaocui, caoxianfei1, wu-hanqing, Xinlong-Chen, Wine93, 201341, jolly-sy",63,38.81,Sandbox
36,Dapr,8,51.13,"ItalyPaleAle, berndverst, JoshVanL, shubham1172, hhunter-ms, artursouza, mukundansundar, mcandeia",244,48.87,56.88,"ItalyPaleAle, berndverst, JoshVanL, shubham1172, hhunter-ms, artursouza, mukundansundar, mcandeia, pravinpushkar, yaron2",242,43.12,Incubating
37,Devfile,5,55.88,"amisevsk, michael-valdron, schultzp2020, kim-tsao, mike-hoang",40,44.12,77.45,"amisevsk, michael-valdron, schultzp2020, kim-tsao, mike-hoang, thepetk, AObuchow, musienko-maxim, yangcao77, josephca",35,22.55,Sandbox
38,DevSpace,2,63.16,"lizardruss, lianmakesthings",6,36.84,100.0,"lizardruss, lianmakesthings, 89luca89, dtomasi, alexandradragodan, pauleHeisster, Juneezee, FabianKramm",0,0.0,Sandbox
39,DevStream,3,72.25,"steinliber, aFlyBird0, daniel-hutao",16,27.75,94.8,"steinliber, aFlyBird0, daniel-hutao, IronCore864, Arhell, KeHaohaoke, 0zyt, algobot76, Shuimo03, yxxhero",9,5.2,Sandbox
40,Dex,9,52.11,"nabokihms, sagikazarmark, seankhliao, jkroepke, sgmccullough, linuxliker, jsoref, dlipovetsky, FernandezBenjamin",29,47.89,54.93,"nabokihms, sagikazarmark, seankhliao, jkroepke, sgmccullough, linuxliker, jsoref, dlipovetsky, FernandezBenjamin, erwinvaneyk",28,45.07,Sandbox
41,Distribution,4,50.67,"thaJeztah, milosgajdos, DavidSpek, flavianmissi",52,49.33,64.0,"thaJeztah, milosgajdos, DavidSpek, flavianmissi, ndeloof, lyj0309, wy65701436, Jamstah, brackendawson, stonezdj",46,36.0,Sandbox
42,Dragonfly,2,50.22,"gaius-qi, jiangliu",79,49.78,79.97,"gaius-qi, jiangliu, jim3ma, imeoer, fcgxz2003, changweige, adamqqqplay, jackHU1998, Desiki-high, ccx1024cc",71,20.03,Incubating
43,Emissary-ingress,3,56.15,"LanceEa, LukeShu, haq204",32,43.85,77.69,"LanceEa, LukeShu, haq204, d6e-automaton, ddymko, rick-a-lane-ii, tenshinhigashi, AliceProxy, antonu17, eevdev",25,22.31,Incubating
44,Envoy,10,50.65,"phlax, alyssawilk, arkodg, Xunzhuo, jpsim, wbpcode, danehans, zirain, RyanTheOptimist, yanavlasov",400,49.35,50.65,"phlax, alyssawilk, arkodg, Xunzhuo, jpsim, wbpcode, danehans, zirain, RyanTheOptimist, yanavlasov",400,49.35,Graduated
45,Eraser,2,73.79,"pmengelbert, ashnamehrotra",5,26.21,100.0,"pmengelbert, ashnamehrotra, sozercan, shaofan, karenhchu, ofbatanur, taliamax",0,0.0,Sandbox
46,etcd,5,50.93,"ahrtr, serathius, jmhbnz, fuweid, chaochn47",196,49.07,59.17,"ahrtr, serathius, jmhbnz, fuweid, chaochn47, tjungblu, mitake, geetasg, lavacat, CaojiamingAlan",191,40.83,Graduated
47,External Secrets Operator,5,50.5,"moolen, gusfcarvalho, shuheiktgw, sebagomez, domizei385",136,49.5,57.29,"moolen, gusfcarvalho, shuheiktgw, sebagomez, domizei385, IdanAdar, Shanti-G, eminalemdar, moritzjohner-form3, vsroy",131,42.71,Sandbox
48,FabEdge,1,100.0,yanjianbo1983,0,0.0,100.0,yanjianbo1983,0,0.0,Sandbox
49,Falco,7,52.38,"FedeDP, jasondellaluce, Andreagit97, LucaGuerra, leogr, alacuku, Issif",193,47.62,63.64,"FedeDP, jasondellaluce, Andreagit97, LucaGuerra, leogr, alacuku, Issif, incertum, loresuso, vjjmiras",190,36.36,Incubating
50,Fluentd,10,52.01,"daipom, nokute78, ashie, cosmo0920, kenhys, patrick-stephens, PettitWesley, leonardo-albertovich, edsiper, pwhelan",261,47.99,52.01,"daipom, nokute78, ashie, cosmo0920, kenhys, patrick-stephens, PettitWesley, leonardo-albertovich, edsiper, pwhelan",261,47.99,Graduated
51,Fluid,9,51.38,"cheyang, TrafalgarZZZ, zwwhdls, wangshli, xliuqq, wang-mask, fengshunli, yangjun289519474, frankleaf",258,48.62,52.87,"cheyang, TrafalgarZZZ, zwwhdls, wangshli, xliuqq, wang-mask, fengshunli, yangjun289519474, frankleaf, allenhaozi",257,47.13,Sandbox
52,Flux,7,52.8,"stefanprodan, dholbach, pjbgf, aryan9600, hiddeco, darkowlzz, makkes",146,47.2,63.47,"stefanprodan, dholbach, pjbgf, aryan9600, hiddeco, darkowlzz, makkes, somtochiama, Arhell, fluxcdbot",143,36.53,Graduated
