License: Creative Commons Attribution-ShareAlike 4.0 International License
License Link: http://creativecommons.org/licenses/by-sa/4.0/
Author: Dr. Dawn M. Foster
Status: Updated on April 18 2022
Source URL: https://github.com/geekygirldawn/k8s_data/tree/main/datasets

company,username,team
Google LLC,adammil2000,Maintainers
Google LLC,andraxylia,Maintainers
Google LLC,bianpengyuan,Maintainers
Red Hat Inc.,brian-avery,Maintainers
International Business Machines Corporation,clyang82,Maintainers
Google LLC,costinm,Maintainers
Red Hat Inc.,dgn,Maintainers
Google LLC,diemtvu,Maintainers
Google LLC,douglas-reid,Maintainers
Google LLC,duderino,Maintainers
Google LLC,elfinhe,Maintainers
International Business Machines Corporation,ericvn,Maintainers
International Business Machines Corporation,esnible,Maintainers
Google LLC,fejta,Maintainers
Huawei Technologies Co. Ltd,fleeto,Maintainers
Google LLC,fpesce,Maintainers
International Business Machines Corporation,frankbu,Maintainers
Google LLC,gargnupur,Maintainers
Red Hat Inc.,gbaufake,Maintainers
Solo.io,GregHanson,Maintainers
NotFound,hanxiaop,Maintainers
Google LLC,howardjohn,Maintainers
Huawei Technologies Co. Ltd,hzxuzhonghu,Maintainers
Google LLC,incfly,Maintainers
International Business Machines Corporation,irisdingbj,Maintainers
Aspen Mesh,jacob-delgado,Maintainers
Google LLC,jasonwzm,Maintainers
Google,JimmyCYJ,Maintainers
Cisco,john-a-joyce,Maintainers
International Business Machines Corporation,johnma14,Maintainers
Red Hat Inc.,jwendell,Maintainers
DaoCloud Network Technology Co. Ltd.,kebe7jun,Maintainers
Google LLC,kyessenov,Maintainers
Google LLC,lambdai,Maintainers
Tetrate.io,liamawhite,Maintainers
Google LLC,liminw,Maintainers
Solo.io,linsun,Maintainers
Tetrate.io,lizan,Maintainers
Beijing Enterprises Sanxing,loverto,Maintainers
Google LLC,mandarjog,Maintainers
International Business Machines Corporation,morvencao,Maintainers
Google LLC,myidpt,Maintainers
SUSE,Nino-K,Maintainers
Google LLC,nmittler,Maintainers
Solo.io,nrjpoddar,Maintainers
Google LLC,ostromart,Maintainers
Salesforce.com inc.,ramaraochavali,Maintainers
Google LLC,rcaballeromx,Maintainers
Red Hat Inc.,rcernich,Maintainers
Google LLC,richardwxn,Maintainers
Google LLC,rlenglet,Maintainers
Tetrate.io,rootsongjc,Maintainers
Tetrate.io,rshriram,Maintainers
@Alibaba @kubernetes @istio  @servicemesher,SataQiu,Maintainers
Cisco,sbezverk,Maintainers
International Business Machines Corporation,sdake,Maintainers
VMware Inc.,shamsher31,Maintainers
Google LLC,stewartbutler,Maintainers
NotFound,suryadu,Maintainers
Google LLC,therealmitchconnors,Maintainers
Cisco,tiswanso,Maintainers
VMware Inc.,venilnoronha,Maintainers
@Tencent,Xunzhuo,Maintainers
Google LLC,yangminzhu,Maintainers
Google LLC,yxue,Maintainers
Intel Corporation,zhlsunshine,Maintainers
Red Hat Inc.,brian-avery,Release Managers
Red Hat Inc.,dgn,Release Managers
International Business Machines Corporation,ericvn,Release Managers
Google LLC,fpesce,Release Managers
Google LLC,howardjohn,Release Managers
International Business Machines Corporation,irisdingbj,Release Managers
Aspen Mesh,jacob-delgado,Release Managers
Google,JimmyCYJ,Release Managers
International Business Machines Corporation,johnma14,Release Managers
Red Hat Inc.,jwendell,Release Managers
@Stripe,Mythra,Release Managers
Google LLC,rlenglet,Release Managers
International Business Machines Corporation,sdake,Release Managers
Google LLC,howardjohn,Repo Admins
Istio,istio-policy-bot,Repo Admins
Istio,istio-release-robot,Repo Admins
Istio,istio-testing,Repo Admins
Solo.io,linsun,Repo Admins
Solo.io,nrjpoddar,Repo Admins
Google,ameer00,Steering Committee
NotFound,angaluri,Steering Committee
IBM Corp,CloudJason,Steering Committee
Google LLC,craigbox,Steering Committee
Huawei Technologies Co. Ltd,hzxuzhonghu,Steering Committee
International Business Machines Corporation,irisdingbj,Steering Committee
DaoCloud Network Technology Co. Ltd.,kebe7jun,Steering Committee
Solo.io,linsun,Steering Committee
Google LLC,louiscryan,Steering Committee
Red Hat Inc.,rcernich,Steering Committee
Google LLC,thisisnotapril,Steering Committee
@tetrateio,ZackButcher,Steering Committee
International Business Machines Corporation,ericvn,Technical Oversight Committee
Google LLC,howardjohn,Technical Oversight Committee
Solo.io,linsun,Technical Oversight Committee
Google LLC,louiscryan,Technical Oversight Committee
Solo.io,nrjpoddar,Technical Oversight Committee
Google LLC,smawson,Technical Oversight Committee
Google LLC,fpesce,Triagers
Google LLC,jasminejaksic,Triagers
Google LLC,douglas-reid,Working Group Leads
International Business Machines Corporation,ericvn,Working Group Leads
International Business Machines Corporation,esnible,Working Group Leads
